Instalação;"Nº de Incidentes";Incidentes
" SES-PIRA-3470 ";" 2 ";" 838, 919 "
" SES-COGO-0683 ";" 5 ";" 70, 81, 99, 415, 839 "
" HUB Prodemge ";" 14 ";" 31, 54, 55, 128, 142, 276, 277, 297, 337, 347, 517, 527, 840, 1039 "
" SES-SARO-3591 ";" 1 ";" 841 "
" SES-FOSO-0803 ";" 8 ";" 266, 319, 442, 714, 826, 842, 1062, 1100 "
" SES-DOIO-0861 ";" 11 ";" 758, 785, 794, 833, 843, 902, 965, 1027, 1056, 1077, 1154 "
" SES-PAMA-0737 ";" 5 ";" 44, 50, 317, 432, 844 "
" SES-COES-3497 ";" 2 ";" 845, 852 "
" SES-DOOS-3501 ";" 8 ";" 815, 825, 837, 846, 858, 878, 978, 1147 "
" SES-CLIO-0951 ";" 8 ";" 619, 630, 667, 676, 678, 692, 705, 847 "
" SES-SANO-3377 ";" 14 ";" 645, 718, 719, 774, 788, 848, 868, 897, 913, 957, 990, 1036, 1046, 1063 "
" SES-DETA-0686 ";" 9 ";" 315, 324, 395, 421, 535, 639, 684, 755, 849 "
" SES-CORA-0858 ";" 5 ";" 689, 738, 850, 891, 941 "
" SES-LACE-3456 ";" 2 ";" 851, 862 "
" SES-PASO-3484 ";" 1 ";" 853 "
" SES-SANO-0791 ";" 4 ";" 355, 654, 756, 854 "
" SES-MAAS-0727 ";" 7 ";" 17, 82, 163, 822, 855, 1131, 1151 "
" SES-PAAO-3373 ";" 1 ";" 856 "
" SES-PIRA-3459 ";" 5 ";" 823, 835, 857, 922, 1087 "
" SES-SEES-0793 ";" 3 ";" 859, 870, 1071 "
" SES-FOAS-0689 ";" 10 ";" 100, 107, 112, 113, 129, 169, 207, 227, 407, 860 "
" SES-COTA-0684 ";" 9 ";" 72, 263, 482, 576, 795, 861, 969, 1007, 1008 "
" SES-ANAS-0657 ";" 16 ";" 4, 9, 10, 15, 18, 57, 58, 522, 642, 704, 753, 863, 887, 940, 1112, 1211 "
" SES-PIRA-3467 ";" 4 ";" 864, 931, 983, 1047 "
" SES-PAOS-3564 ";" 5 ";" 813, 865, 961, 1017, 1067 "
" SES-FRES-3372 ";" 7 ";" 574, 580, 638, 866, 1120, 1199, 1207 "
" SES-LACE-3453 ";" 1 ";" 867 "
" SES-FRAR-0691 ";" 4 ";" 104, 302, 358, 869 "
" SES-SAIA-3232 ";" 6 ";" 514, 571, 597, 668, 800, 871 "
" SES-JOAS-0723 ";" 8 ";" 591, 679, 724, 827, 831, 872, 894, 1026 "
" SES-BRAS-0667 ";" 3 ";" 357, 603, 873 "
" SES-MOLO-0823 ";" 5 ";" 228, 697, 708, 874, 938 "
" SES-BANA-3625 ";" 4 ";" 875, 888, 903, 973 "
" SES-PASO-3445 ";" 8 ";" 803, 810, 811, 812, 876, 906, 925, 1085 "
" SES-RIIS-3539 ";" 2 ";" 877, 1082 "
" SES-SAIA-3247 ";" 4 ";" 581, 879, 910, 1035 "
" SES-SAIA-3242 ";" 5 ";" 469, 512, 703, 880, 934 "
" SES-CAIS-3386 ";" 3 ";" 611, 790, 881 "
" SES-META-0728 ";" 12 ";" 157, 164, 175, 206, 369, 400, 560, 604, 882, 921, 930, 1249 "
" SES-SAIA-0745 ";" 3 ";" 46, 766, 883 "
" SES-PEAO-0774 ";" 2 ";" 461, 884 "
" SES-CLES-0678 ";" 7 ";" 53, 63, 87, 291, 293, 586, 885 "
" SES-DOOS-3502 ";" 2 ";" 886, 966 "
" SES-CAHO-0674 ";" 16 ";" 232, 244, 250, 259, 284, 422, 431, 435, 634, 651, 666, 688, 761, 784, 889, 918 "
" SES-COAL-0809 ";" 9 ";" 311, 406, 652, 816, 890, 951, 967, 1013, 1034 "
" SES-CAIO-0855 ";" 10 ";" 348, 353, 572, 653, 665, 762, 817, 892, 911, 968 "
" SES-SAIA-3240 ";" 11 ";" 401, 505, 537, 554, 569, 575, 589, 709, 715, 893, 904 "
" SES-AICA-0935 ";" 6 ";" 409, 449, 644, 695, 696, 895 "
" SES-GONA-0692 ";" 17 ";" 41, 45, 78, 88, 91, 122, 125, 140, 141, 155, 187, 286, 443, 550, 661, 896, 929 "
" SES-SARA-3589 ";" 5 ";" 898, 932, 954, 1031, 1250 "
" SES-DINO-0687 ";" 6 ";" 36, 83, 85, 103, 749, 899 "
" SES-LADE-0724 ";" 11 ";" 79, 80, 123, 131, 134, 152, 236, 313, 626, 900, 1016 "
" SES-BETE-3867 ";" 4 ";" 901, 916, 1012, 1143 "
" SES-PIRA-3468 ";" 7 ";" 905, 962, 1021, 1064, 1098, 1193, 1213 "
" SES-SAOA-0923 ";" 11 ";" 397, 450, 465, 538, 618, 907, 960, 1028, 1127, 1142, 1241 "
" SES-CAIO-3362 ";" 8 ";" 707, 713, 908, 970, 1069, 1137, 1141, 1158 "
" SES-SADE-0827 ";" 7 ";" 909, 937, 1015, 1090, 1129, 1164, 1180 "
" SES-ANAS-0658 ";" 12 ";" 89, 374, 590, 625, 725, 726, 727, 728, 912, 1043, 1050, 1096 "
" SES-SAAS-0781 ";" 4 ";" 346, 752, 914, 1058 "
" SES-SAIA-3245 ";" 1 ";" 915 "
" SES-POUE-3477 ";" 9 ";" 917, 926, 982, 987, 1037, 1110, 1138, 1139, 1231 "
" SES-PIDE-3533 ";" 10 ";" 787, 920, 1061, 1070, 1084, 1106, 1116, 1155, 1170, 1191 "
" SES-BANA-3612 ";" 1 ";" 923 "
" SES-GUOR-3325 ";" 3 ";" 656, 924, 977 "
" SES-SAEI-3548 ";" 14 ";" 745, 750, 781, 793, 797, 804, 814, 927, 974, 1014, 1029, 1057, 1125, 1240 "
" SES-SAIA-3238 ";" 1 ";" 928 "
" SES-SAIA-0751 ";" 14 ";" 64, 65, 95, 135, 161, 176, 185, 242, 366, 370, 441, 504, 516, 933 "
" SES-JEBA-0721 ";" 6 ";" 230, 411, 472, 570, 783, 935 "
" SES-PIRA-3463 ";" 2 ";" 936, 1236 "
" SES-PRIS-0778 ";" 6 ";" 256, 287, 332, 363, 378, 939 "
" SES-JEAI-0701 ";" 5 ";" 145, 336, 557, 584, 942 "
" SES-LITE-0725 ";" 4 ";" 511, 760, 943, 1005 "
" SES-CARA-0947 ";" 7 ";" 483, 526, 573, 577, 690, 944, 1004 "
" SES-RIOS-0780 ";" 3 ";" 272, 945, 950 "
" SES-PROS-3535 ";" 2 ";" 946, 959 "
" SES-DERA-0685 ";" 7 ";" 223, 254, 344, 521, 641, 764, 947 "
" SES-CADE-3381 ";" 1 ";" 948 "
" SES-BOHA-0850 ";" 6 ";" 345, 349, 382, 484, 949, 1045 "
" SES-SAEI-0820 ";" 5 ";" 208, 231, 235, 952, 1060 "
" SES-DEOS-3499 ";" 2 ";" 953, 993 "
" SES-COAL-0680 ";" 4 ";" 304, 429, 955, 1111 "
" SES-SATE-0784 ";" 3 ";" 234, 552, 956 "
" SES-PROS-0913 ";" 3 ";" 791, 958, 1038 "
" SES-ITRO-0869 ";" 6 ";" 364, 375, 963, 999, 1197, 1217 "
" SES-RETA-3538 ";" 3 ";" 964, 1109, 1239 "
" SES-BAIS-0940 ";" 2 ";" 731, 971 "
" SES-SAIA-3255 ";" 1 ";" 972 "
" SES-IAPU-3327 ";" 2 ";" 510, 975 "
" SES-GUAL-0866 ";" 4 ";" 327, 454, 640, 976 "
" SES-GUIA-0693 ";" 2 ";" 798, 979 "
" SES-CAGA-0948 ";" 8 ";" 980, 1001, 1009, 1011, 1033, 1095, 1168, 1235 "
" SES-SARA-0788 ";" 9 ";" 300, 393, 451, 502, 546, 607, 792, 981, 1003 "
" SES-SAIA-0749 ";" 6 ";" 117, 138, 139, 199, 202, 984 "
" SES-BANA-3619 ";" 2 ";" 985, 1192 "
" SES-PAAO-3374 ";" 4 ";" 566, 698, 986, 1006 "
" SES-SANO-0789 ";" 12 ";" 237, 281, 371, 384, 392, 463, 470, 509, 518, 542, 988, 1121 "
" SES-CRIA-0896 ";" 3 ";" 468, 989, 1201 "
" SES-BASO-3492 ";" 1 ";" 991 "
" SES-INBA-0697 ";" 2 ";" 278, 992 "
" SES-FOAS-0690 ";" 6 ";" 24, 30, 33, 184, 819, 994 "
" SES-CATA-0851 ";" 3 ";" 182, 241, 995 "
" SES-BAIS-3740 ";" 1 ";" 996 "
" SES-SAIA-3254 ";" 7 ";" 474, 598, 643, 805, 807, 997, 1104 "
" SES-IBIA-0867 ";" 3 ";" 322, 351, 998 "
" SES-CADE-0673 ";" 3 ";" 154, 165, 1000 "
" SES-ENAS-3503 ";" 3 ";" 627, 706, 1002 "
" SES-SAIA-0748 ";" 10 ";" 110, 179, 335, 340, 360, 503, 553, 1010, 1128, 1196 "
" SES-ACCA-0930 ";" 3 ";" 548, 582, 1018 "
" SES-MOMA-3557 ";" 2 ";" 1019, 1122 "
" SES-SAHA-3595 ";" 1 ";" 1020 "
" SES-BANA-3614 ";" 4 ";" 1022, 1068, 1156, 1242 "
" SES-ANIA-0889 ";" 3 ";" 657, 778, 1023 "
" SES-PROS-3534 ";" 1 ";" 1024 "
" SES-SADO-3599 ";" 1 ";" 1025 "
" SES-JOIA-0722 ";" 6 ";" 16, 34, 37, 52, 602, 1030 "
" SES-SACU-0787 ";" 2 ";" 1032, 1204 "
" SES-ATIA-3355 ";" 1 ";" 1040 "
" SES-ATIA-3353 ";" 1 ";" 1041 "
" SES-JODE-3762 ";" 1 ";" 1042 "
" SES-UMBA-0800 ";" 8 ";" 289, 295, 334, 519, 565, 732, 1044, 1145 "
" SES-BETE-3951 ";" 2 ";" 1048, 1051 "
" SES-VIAS-0799 ";" 5 ";" 268, 506, 674, 699, 1049 "
" SES-BEIM-3793 ";" 3 ";" 1052, 1079, 1097 "
" SES-BAIS-3733 ";" 5 ";" 1053, 1078, 1088, 1099, 1108 "
" SES-AGIL-0886 ";" 7 ";" 288, 423, 646, 650, 1054, 1114, 1132 "
" SES-SATE-0819 ";" 2 ";" 1055, 1124 "
" SES-SAIA-3248 ";" 3 ";" 417, 418, 1059 "
" SES-BOCA-3915 ";" 2 ";" 1065, 1181 "
" SES-BANA-3634 ";" 1 ";" 1066 "
" SES-BANA-3621 ";" 1 ";" 1072 "
" SES-IBGA-0695 ";" 7 ";" 69, 108, 148, 160, 262, 329, 1073 "
" SES-QUTA-3582 ";" 3 ";" 1074, 1076, 1220 "
" SES-ITTO-0814 ";" 4 ";" 257, 273, 567, 1075 "
" SES-LACE-3457 ";" 1 ";" 1080 "
" SES-DOIS-0863 ";" 3 ";" 1081, 1167, 1210 "
" SES-QUAL-0915 ";" 2 ";" 1083, 1161 "
" SES-CADA-3378 ";" 2 ";" 777, 1086 "
" SES-BEIM-3789 ";" 4 ";" 1089, 1165, 1182, 1224 "
" SES-ILEA-3330 ";" 1 ";" 1091 "
" SES-TUIA-3604 ";" 1 ";" 1092 "
" SES-NAUE-3728 ";" 2 ";" 1093, 1198 "
" SES-BEIM-3792 ";" 1 ";" 1094 "
" SES-BRAS-0643 ";" 10 ";" 39, 49, 66, 67, 68, 136, 147, 171, 637, 1101 "
" SES-CARO-0856 ";" 1 ";" 1102 "
" SES-PIRA-3458 ";" 1 ";" 1105 "
" SES-BOCA-3914 ";" 1 ";" 1107 "
