tipo;sno;mac;local;tipo_local;vsat;obs
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
SL 4033;1,0727E+19;;Lider;local_equipamento;;
